ingredient_code,standard_name_kr,standard_name_en,alias_kr,alias_en
성분사전 표준화명칭목록,,,,
2026.06.30 기준,,,,
22849,닥풀꽃/줄기추출물,Abelmoschus Manihot Flower/Stem Extract,,
22850,에스알-(올리고펩타이드-184에스에이치-올리고펩타이드-2),sr-(Oligopeptide-184 sh-Oligopeptide-2),,
22851,에스알-(올리고펩타이드-184에스에이치-폴리펩타이드-3),sr-(Oligopeptide-184 sh-Polypeptide-3),,
22852,에스알-(올리고펩타이드-184에스에이치-폴리펩타이드-9),sr-(Oligopeptide-184 sh-Polypeptide-9),,
22853,에스알-(올리고펩타이드-184에스에이치-폴리펩타이드-59),sr-(Oligopeptide-184 sh-Polypeptide-59),,
22854,에스알-(올리고펩타이드-184에스에이치-폴리펩타이드-60),sr-(Oligopeptide-184 sh-Polypeptide-60),,
22855,에스알-(올리고펩타이드-184에스에이치-폴리펩타이드-85),sr-(Oligopeptide-184 sh-Polypeptide-85),,
22856,가시파래추출물,,,
22857,귤,,,
22858,귤껍질,,,
22859,쌍별귀뚜라미추출박,,,
22860,가래나무잎/줄기추출물,,,
22861,참여로잎/줄기추출물,,,
22862,도깨비부채잎/줄기추출물,,,
22864,에스에이치-올리고펩타이드-32에스피,sh-Oligopeptide-32 SP,,
22865,인삼소포,Panax Ginseng Vesicles,,
22866,2-카프릴로일카프릴로일다이메틸아스파테이트,2-Capryloyl Capryloyl Dimethyl Aspartate,,
