"ingredient","빈도(상품수)","성분_유형","ingredient_tag","label_confidence","검수필요"
"*카퍼트라이펩타이드-1(75ppb)","1","미분류","","",""
"*트라이펩타이드-1(50ppb)","1","미분류","","",""
"*팔미토일펜타펩타이드-4(25ppb)","1","미분류","","",""
"*헥사펩타이드-9(25ppb)","1","미분류","","",""
"트라이에틸시트레이트","1","미분류","","",""
"알칸나뿌리추출물","1","미분류","","",""
"만주자작나무껍질/잎추출물","1","미분류","","",""
"피마자씨오일","1","미분류","","",""
"레몬그라스잎오일","1","미분류","","",""
"바질꽃/잎/줄기추출물","1","미분류","","",""
"프리지아추출물","1","미분류","","",""
"에델바이스추출물","1","미분류","","",""
"마돈나백합꽃추출물","1","미분류","","",""
"뽕나무껍질추출물","1","미분류","","",""
"스노우로투스추출물","1","미분류","","",""
"에스신","1","미분류","","",""
"하이드롤라이즈드하이알루로닉애씨드(0.01ppm)","1","미분류","","",""
"하이알루로닉애씨드(0.01ppm)","1","미분류","","",""
"사과씨오일","1","미분류","","",""
"소듐디엔에이(2","1","미분류","","",""
"구아이아줄렌(300ppm)","1","미분류","","",""
"엑토인(100ppm)","1","미분류","","",""
"마데카소사이드(100ppm)","1","미분류","","",""
"로즈힙열매오일","1","미분류","","",""
"에스에이치-올리고펩타이드-1(5ppm)","1","미분류","","",""
"에스에이치-폴리펩타이드-1(5ppm)","1","미분류","","",""
"트라이펩타이드-10시트룰린","1","미분류","","",""
"아크릴레이트/에틸헥실아크릴레이트코폴리머","1","미분류","","",""
"글루코만난","1","미분류","","",""
"콜라겐수(770","1","미분류","","",""
"965ppm)","1","미분류","","",""
"아세틸헥사펩타이드-8(1","1","미분류","","",""
"콜라겐추출물(100ppb)","1","미분류","","",""
"카퍼트라이펩타이드-1(0.1ppb)","1","미분류","","",""
"트라이펩타이드-1(0.1ppb)","1","미분류","","",""
"팔미토일트라이펩타이드-5(0.1ppb)","1","미분류","","",""
"헥사펩타이드-9(0.1ppb)","1","미분류","","",""
"팔미토일펜타펩타이드-4(0.1ppb)","1","미분류","","",""
"올리고펩타이드-1(0.1ppb)","1","미분류","","",""
"팔미토일트라이펩타이드-38(0.1ppb)","1","미분류","","",""
"펜타펩타이드-4(0.1ppb)","1","미분류","","",""
"헥사펩타이드-12(0.1ppb)","1","미분류","","",""
"황해쑥잎수(17","1","미분류","","",""
"590ppm)","1","미분류","","",""
"황해쑥잎추출물(10ppm)","1","미분류","","",""
"빙하수(800","1","미분류","","",""
"흰서양송로추출물(207ppm)","1","미분류","","",""
"블루탄지꽃오일","1","미분류","","",""
"쌀겨수","1","미분류","","",""
"실란트라이올","1","미분류","","",""
"비피다발효추출물","1","미분류","","",""
"쌀아미노산","1","미분류","","",""
"병풀잎수(83.70412%)","1","미분류","","",""
"하이드롤라이즈드콜라겐(0.01%)","1","미분류","","",""
"병풀추출물(0.0098%)","1","미분류","","",""
"향부자추출물","1","미분류","","",""
"포타슘락테이트","1","미분류","","",""
"글루타밀아미도에틸인돌","1","미분류","","",""
"전성분명","1","미분류","","",""
"바위돌꽃뿌리추출물","1","미분류","","",""
"하이드롤라이즈드쌀겨단백질","1","미분류","","",""
"하이드롤라이즈드참깨단백질","1","미분류","","",""
"하이드록시프로필비스라우라마이드엠이에이(10","1","미분류","","",""
"에이","1","미분류","","",""
"아크릴릭애씨드/브이피크로스폴리머","1","미분류","","",""
"005ppm)","1","미분류","","",""
"콘민트추출물","1","미분류","","",""
"폴록사머407","1","미분류","","",""
"아시아티코사이드(4","1","미분류","","",""
"아시아틱애씨드(3","1","미분류","","",""
"마데카식애씨드(3","1","미분류","","",""
"마누카잎추출물(2","1","미분류","","",""
"500ppb)","1","미분류","","",""
"꿀추출물(2","1","미분류","","",""
"마데카소사이드(100ppb)","1","미분류","","",""
"콜라겐수(430","1","미분류","","",""
"980ppm)","1","미분류","","",""
"글라이콜다이스테아레이트","1","미분류","","",""
"C12-13파레스-9","1","미분류","","",""
"스테아레스-4","1","미분류","","",""
"실크추출물(500ppm)","1","미분류","","",""
"하이드롤라이즈드익스텐신(150ppm)","1","미분류","","",""
"하이드롤라이즈드실크(100ppm)","1","미분류","","",""
"하이드롤라이즈드엘라스틴(100ppm)","1","미분류","","",""
"하이드롤라이즈드콜라겐(100ppm)","1","미분류","","",""
"콜라겐추출물(0.01ppm)","1","미분류","","",""
"스테아레스-30","1","미분류","","",""
"하이드롤라이즈드콩단백질(30ppm)","1","미분류","","",""
"실크아미노산(3ppm)","1","미분류","","",""
"아스코빌프로필하이알루로네이트","1","미분류","","",""
"하이드롤라이즈드콜라겐추출물(1ppm)","1","미분류","","",""
"카페오일헥사펩타이드-65(0.1ppm)","1","미분류","","",""
"카퍼트라이펩타이드-1(0.1ppm)","1","미분류","","",""
"팔미토일테트라펩타이드-7(0.05ppm)","1","미분류","","",""
"팔미토일트라이펩타이드-1(0.01ppm)","1","미분류","","",""
"팔미토일펜타펩타이드-4(0.005ppm)","1","미분류","","",""
"프롤린(0.01ppm)","1","미분류","","",""
"신(0.01ppm)","1","미분류","","",""
"아스파틱애씨드(0.01ppm)","1","미분류","","",""
"알라닌(0.01ppm)","1","미분류","","",""
"알지닌(0.01ppm)","1","미분류","","",""
"세린(0.01ppm)","1","미분류","","",""
"발린(0.01ppm)","1","미분류","","",""
"류신(0.01ppm)","1","미분류","","",""
"메티오닌(0.01ppm)","1","미분류","","",""
"글루타믹애씨드(0.01ppm)","1","미분류","","",""
"글라이신(0.01ppm)","1","미분류","","",""
"히스티딘(0.01ppm)","1","미분류","","",""
"타우린(0.01ppm)","1","미분류","","",""
"오르니틴(0.01ppm)","1","미분류","","",""
"페닐알라닌(0.01ppm)","1","미분류","","",""
"트라이라우레스-4 포스페이트","1","미분류","","",""
"하이드롤라 이즈드소듐하이알루로네이트","1","미분류","","",""
"소듐디엔에이(0.5ppb)","1","미분류","","",""
"비피다발효용해물(3.6%)","1","미분류","","",""
"락토바실러스발효용해물(3.6%)","1","미분류","","",""
"피키아발효용해여과물","1","미분류","","",""
"효모발효용해여과물","1","미분류","","",""
"초유(7","1","미분류","","",""
"우유지질","1","미분류","","",""
"테트라데실아미노부티로일발릴아미노부티릭우레아트라이플루오로아세테이트","1","미분류","","",""
"엘라스틴","1","미분류","","",""
"수용성엘라스틴","1","미분류","","",""
"소듐하이알루로네이트 (100ppm)","1","미분류","","",""
"하이드롤라이즈드하이알루로닉애씨드 (0.01ppm)","1","미분류","","",""
"하이알루로닉애씨드 (0.01ppm)","1","미분류","","",""
"소듐디엔에이 (2","1","미분류","","",""
"소듐디엔에이 (0.5ppb)","1","미분류","","",""
"병풀추출물(2ppm)","1","미분류","","",""
"마데카소사이드(0.02ppm)","1","미분류","","",""
"마데카식애씨드(0.02ppm)","1","미분류","","",""
"아시아티코사이드(0.02ppm)","1","미분류","","",""
"아시아틱애씨드(0.02ppm)","1","미분류","","",""
"알간나뿌리추출물","1","미분류","","",""
"도쿄치류","1","미분류","","",""
"프로판","1","미분류","","",""
"다채추출가루/잎추출물","1","미분류","","",""
"미타자씨오일","1","미분류","","",""
"올록수스","1","미분류","","",""
"레몬그라스잎추출물","1","미분류","","",""
"연잎추출물","1","미분류","","",""
"뽕나무열매추출물","1","미분류","","",""
"은행추출물","1","미분류","","",""
"락토바실러스/콜라겐발효여과물","1","미분류","","",""
"콜라겐아미노산","1","미분류","","",""
"유청여과물","1","미분류","","",""
"데사미도콜라겐","1","미분류","","",""
"프로콜라겐","1","미분류","","",""
"우유엑소좀","1","미분류","","",""
"트라이펩타이드-29","1","미분류","","",""
"망고씨버터","1","미분류","","",""
"야자씨버터","1","미분류","","",""
"쿠푸아수씨버터","1","미분류","","",""
"프로판디올","1","미분류","","",""
"카라기난추출물","1","미분류","","",""
"성모초추출물","1","미분류","","",""
"말로우추출물","1","미분류","","",""
"꼬리풀추출물","1","미분류","","",""
"어성초추출물","1","미분류","","",""
"제충국꽃추출물","1","미분류","","",""
"레몬유칼립투스오일","1","미분류","","",""
"폴리글리세릴-2올리에이트","1","미분류","","",""
"망가니즈피씨에이","1","미분류","","",""
"* 제공된 성분은 동일 제품이라도 경우에 따라 변경될 수 있습니다. 최신정보는 제품 포장의 성분을 참고하시거나 닥터자르트 고객만족센터(1544-5453)으로 연락 부탁 드립니다.","1","미분류","","",""
"포도즙추출물","1","미분류","","",""
"소듐하이알루로네이트크로스폴리머(100ppm)","1","미분류","","",""
"하이드롤라이즈드하이알루로닉애씨드(100ppm)","1","미분류","","",""
"하이알루로닉애씨드(10ppm)","1","미분류","","",""
"하이드롤라이즈드소듐하이알루로네이트(10ppm","1","미분류","","",""
")","1","미분류","","",""
"*히아루론산 1%솔루션 10%함유","1","미분류","","",""
"온천수 100%","1","미분류","","",""
"캐모마일","1","미분류","","",""
"소르비톨","1","미분류","","",""
"토마토열매/잎/줄기추출물","1","미분류","","",""
"매실수","1","미분류","","",""
"알파-비사보롤","1","미분류","","",""
"밤부사 불가리스잎/줄기추출물","1","미분류","","",""
"모하비유카뿌리추출물","1","미분류","","",""
"로즈우드오일","1","미분류","","",""
"웨스트오스트레일리아산달우드목부오일","1","미분류","","",""
